Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
some children are going fishing Name .,-33.00214814320419,-231.0150370024293,bad,transitive,118,syntax,argument_structure,trigram1,-32.384729843934565,-33.00214814320419,TRUE
some children are talking about Name .,-32.384729843934565,-226.69310890754195,good,transitive,118,syntax,argument_structure,trigram1,-32.384729843934565,-33.00214814320419,TRUE
some children are going fishing Name .,-33.047418197030325,-231.33192737921226,bad,transitive,118,syntax,argument_structure,trigram10,-32.34643382622911,-33.047418197030325,TRUE
some children are talking about Name .,-32.34643382622911,-226.42503678360376,good,transitive,118,syntax,argument_structure,trigram10,-32.34643382622911,-33.047418197030325,TRUE
some children are going fishing Name .,-32.980085173451535,-230.86059621416072,bad,transitive,118,syntax,argument_structure,trigram2,-32.18223338763422,-32.980085173451535,TRUE
some children are talking about Name .,-32.18223338763422,-225.27563371343956,good,transitive,118,syntax,argument_structure,trigram2,-32.18223338763422,-32.980085173451535,TRUE
some children are going fishing Name .,-33.008805403332346,-231.0616378233264,bad,transitive,118,syntax,argument_structure,trigram3,-32.41310183169772,-33.008805403332346,TRUE
some children are talking about Name .,-32.41310183169772,-226.89171282188408,good,transitive,118,syntax,argument_structure,trigram3,-32.41310183169772,-33.008805403332346,TRUE
some children are going fishing Name .,-33.05035699844373,-231.35249898910612,bad,transitive,118,syntax,argument_structure,trigram4,-32.36359200957836,-33.05035699844373,TRUE
some children are talking about Name .,-32.36359200957836,-226.54514406704854,good,transitive,118,syntax,argument_structure,trigram4,-32.36359200957836,-33.05035699844373,TRUE
some children are going fishing Name .,-32.99918313855711,-230.99428196989976,bad,transitive,118,syntax,argument_structure,trigram5,-32.381764839287484,-32.99918313855711,TRUE
some children are talking about Name .,-32.381764839287484,-226.6723538750124,good,transitive,118,syntax,argument_structure,trigram5,-32.381764839287484,-32.99918313855711,TRUE
some children are going fishing Name .,-32.99479032614929,-230.96353228304503,bad,transitive,118,syntax,argument_structure,trigram6,-32.21487152348682,-32.99479032614929,TRUE
some children are talking about Name .,-32.21487152348682,-225.50410066440773,good,transitive,118,syntax,argument_structure,trigram6,-32.21487152348682,-32.99479032614929,TRUE
some children are going fishing Name .,-33.087274046856926,-231.6109183279985,bad,transitive,118,syntax,argument_structure,trigram7,-32.4698557475873,-33.087274046856926,TRUE
some children are talking about Name .,-32.4698557475873,-227.28899023311112,good,transitive,118,syntax,argument_structure,trigram7,-32.4698557475873,-33.087274046856926,TRUE
some children are going fishing Name .,-33.02695123937422,-231.18865867561954,bad,transitive,118,syntax,argument_structure,trigram8,-32.4095329401046,-33.02695123937422,TRUE
some children are talking about Name .,-32.4095329401046,-226.86673058073217,good,transitive,118,syntax,argument_structure,trigram8,-32.4095329401046,-33.02695123937422,TRUE
some children are going fishing Name .,-33.051598478408664,-231.36118934886065,bad,transitive,118,syntax,argument_structure,trigram9,-32.480169906980095,-33.051598478408664,TRUE
some children are talking about Name .,-32.480169906980095,-227.36118934886065,good,transitive,118,syntax,argument_structure,trigram9,-32.480169906980095,-33.051598478408664,TRUE
Name knows Name .,-31.71657643779149,-126.86630575116597,good,transitive,193,syntax,argument_structure,trigram1,-31.71657643779149,-31.96657643779149,TRUE
Name falls Name .,-31.96657643779149,-127.86630575116597,bad,transitive,193,syntax,argument_structure,trigram1,-31.71657643779149,-31.96657643779149,TRUE
Name knows Name .,-31.780863907692144,-127.12345563076858,good,transitive,193,syntax,argument_structure,trigram10,-31.780863907692144,-32.030863907692144,TRUE
Name falls Name .,-32.030863907692144,-128.12345563076858,bad,transitive,193,syntax,argument_structure,trigram10,-31.780863907692144,-32.030863907692144,TRUE
Name knows Name .,-31.94875922598033,-127.79503690392133,good,transitive,193,syntax,argument_structure,trigram2,-31.94875922598033,-31.94875922598033,FALSE
Name falls Name .,-31.94875922598033,-127.79503690392133,bad,transitive,193,syntax,argument_structure,trigram2,-31.94875922598033,-31.94875922598033,FALSE
Name knows Name .,-31.72247411669253,-126.88989646677014,good,transitive,193,syntax,argument_structure,trigram3,-31.72247411669253,-31.97247411669253,TRUE
Name falls Name .,-31.97247411669253,-127.88989646677014,bad,transitive,193,syntax,argument_structure,trigram3,-31.72247411669253,-31.97247411669253,TRUE
Name knows Name .,-31.79289142448927,-127.17156569795708,good,transitive,193,syntax,argument_structure,trigram4,-31.79289142448927,-32.04289142448927,TRUE
Name falls Name .,-32.04289142448927,-128.17156569795708,bad,transitive,193,syntax,argument_structure,trigram4,-31.79289142448927,-32.04289142448927,TRUE
Name knows Name .,-31.7056352160814,-126.8225408643256,good,transitive,193,syntax,argument_structure,trigram5,-31.7056352160814,-31.9556352160814,TRUE
Name falls Name .,-31.9556352160814,-127.8225408643256,bad,transitive,193,syntax,argument_structure,trigram5,-31.7056352160814,-31.9556352160814,TRUE
Name knows Name .,-31.965235461348367,-127.86094184539347,good,transitive,193,syntax,argument_structure,trigram6,-31.965235461348367,-31.965235461348367,FALSE
Name falls Name .,-31.965235461348367,-127.86094184539347,bad,transitive,193,syntax,argument_structure,trigram6,-31.965235461348367,-31.965235461348367,FALSE
Name knows Name .,-32.081184515835474,-128.3247380633419,good,transitive,193,syntax,argument_structure,trigram7,-32.081184515835474,-32.081184515835474,FALSE
Name falls Name .,-32.081184515835474,-128.3247380633419,bad,transitive,193,syntax,argument_structure,trigram7,-32.081184515835474,-32.081184515835474,FALSE
Name knows Name .,-31.7381767795711,-126.9527071182844,good,transitive,193,syntax,argument_structure,trigram8,-31.7381767795711,-31.9881767795711,TRUE
Name falls Name .,-31.9881767795711,-127.9527071182844,bad,transitive,193,syntax,argument_structure,trigram8,-31.7381767795711,-31.9881767795711,TRUE
Name knows Name .,-31.76078645865872,-127.04314583463488,good,transitive,193,syntax,argument_structure,trigram9,-31.76078645865872,-32.01078645865872,TRUE
Name falls Name .,-32.01078645865872,-128.04314583463488,bad,transitive,193,syntax,argument_structure,trigram9,-31.76078645865872,-32.01078645865872,TRUE
Name was n't running around that high school .,-33.494021528198886,-301.44619375379,good,transitive,33,syntax,argument_structure,trigram1,-33.494021528198886,-33.25791041708778,FALSE
Name was n't smiling that high school .,-33.25791041708778,-266.0632833367022,bad,transitive,33,syntax,argument_structure,trigram1,-33.494021528198886,-33.25791041708778,FALSE
Name was n't running around that high school .,-33.60616558265431,-302.4554902438888,good,transitive,33,syntax,argument_structure,trigram10,-33.60616558265431,-33.38158329096761,FALSE
Name was n't smiling that high school .,-33.38158329096761,-267.0526663277409,bad,transitive,33,syntax,argument_structure,trigram10,-33.60616558265431,-33.38158329096761,FALSE
Name was n't running around that high school .,-33.434586190206204,-300.9112757118558,good,transitive,33,syntax,argument_structure,trigram2,-33.434586190206204,-33.31951115938867,FALSE
Name was n't smiling that high school .,-33.31951115938867,-266.55608927510934,bad,transitive,33,syntax,argument_structure,trigram2,-33.434586190206204,-33.31951115938867,FALSE
Name was n't running around that high school .,-33.58737837546366,-302.2864053791729,good,transitive,33,syntax,argument_structure,trigram3,-33.58737837546366,-33.361978115873434,FALSE
Name was n't smiling that high school .,-33.361978115873434,-266.8958249269875,bad,transitive,33,syntax,argument_structure,trigram3,-33.58737837546366,-33.361978115873434,FALSE
Name was n't running around that high school .,-33.63443442880916,-302.7099098592824,good,transitive,33,syntax,argument_structure,trigram4,-33.63443442880916,-33.41453317861242,FALSE
Name was n't smiling that high school .,-33.41453317861242,-267.3162654288994,bad,transitive,33,syntax,argument_structure,trigram4,-33.63443442880916,-33.41453317861242,FALSE
Name was n't running around that high school .,-33.46592169131501,-301.1932952218351,good,transitive,33,syntax,argument_structure,trigram5,-33.46592169131501,-33.225339356663795,FALSE
Name was n't smiling that high school .,-33.225339356663795,-265.80271485331036,bad,transitive,33,syntax,argument_structure,trigram5,-33.46592169131501,-33.225339356663795,FALSE
Name was n't running around that high school .,-33.4889867463718,-301.4008807173462,good,transitive,33,syntax,argument_structure,trigram6,-33.4889867463718,-33.25416882143279,FALSE
Name was n't smiling that high school .,-33.25416882143279,-266.03335057146234,bad,transitive,33,syntax,argument_structure,trigram6,-33.4889867463718,-33.25416882143279,FALSE
Name was n't running around that high school .,-33.62340147561402,-302.61061328052614,good,transitive,33,syntax,argument_structure,trigram7,-33.62340147561402,-33.39773581570508,FALSE
Name was n't smiling that high school .,-33.39773581570508,-267.1818865256406,bad,transitive,33,syntax,argument_structure,trigram7,-33.62340147561402,-33.39773581570508,FALSE
Name was n't running around that high school .,-33.65561108332753,-302.90049974994776,good,transitive,33,syntax,argument_structure,trigram8,-33.65561108332753,-33.43606448718784,FALSE
Name was n't smiling that high school .,-33.43606448718784,-267.48851589750274,bad,transitive,33,syntax,argument_structure,trigram8,-33.65561108332753,-33.43606448718784,FALSE
Name was n't running around that high school .,-33.64268950458166,-302.78420554123494,good,transitive,33,syntax,argument_structure,trigram9,-33.64268950458166,-33.54310721289496,FALSE
Name was n't smiling that high school .,-33.54310721289496,-268.3448577031597,bad,transitive,33,syntax,argument_structure,trigram9,-33.64268950458166,-33.54310721289496,FALSE
Name is n't talking about some play .,-33.01814568570881,-264.1451654856705,good,transitive,394,syntax,argument_structure,trigram1,-33.01814568570881,-32.82317929551182,FALSE
Name is n't falling some play .,-32.82317929551182,-229.76225506858273,bad,transitive,394,syntax,argument_structure,trigram1,-33.01814568570881,-32.82317929551182,FALSE
Name is n't talking about some play .,-33.14591361171025,-265.167308893682,good,transitive,394,syntax,argument_structure,trigram10,-33.14591361171025,-32.96635499679059,FALSE
Name is n't falling some play .,-32.96635499679059,-230.76448497753412,bad,transitive,394,syntax,argument_structure,trigram10,-33.14591361171025,-32.96635499679059,FALSE
Name is n't talking about some play .,-33.05137986778826,-264.4110389423061,good,transitive,394,syntax,argument_structure,trigram2,-33.05137986778826,-32.865121786508524,FALSE
Name is n't falling some play .,-32.865121786508524,-230.05585250555967,bad,transitive,394,syntax,argument_structure,trigram2,-33.05137986778826,-32.865121786508524,FALSE
Name is n't talking about some play .,-33.123136533135565,-264.9850922650845,good,transitive,394,syntax,argument_structure,trigram3,-33.123136533135565,-32.94207311612844,FALSE
Name is n't falling some play .,-32.94207311612844,-230.5945118128991,bad,transitive,394,syntax,argument_structure,trigram3,-33.123136533135565,-32.94207311612844,FALSE
Name is n't talking about some play .,-33.11029611279616,-264.88236890236925,good,transitive,394,syntax,argument_structure,trigram4,-33.11029611279616,-32.92696063885518,FALSE
Name is n't falling some play .,-32.92696063885518,-230.48872447198625,bad,transitive,394,syntax,argument_structure,trigram4,-33.11029611279616,-32.92696063885518,FALSE
Name is n't talking about some play .,-33.14342037808723,-265.1473630246978,good,transitive,394,syntax,argument_structure,trigram5,-33.14342037808723,-32.96525466516759,FALSE
