Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
what was Name bringing a popsicle while bringing *T* ?,-32.742476087929205,-327.4247608792921,bad,adjunct_island,120,syntax,island_effects,trigram1,-33.92441416701566,-32.742476087929205,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.92441416701566,-339.24414167015664,good,adjunct_island,120,syntax,island_effects,trigram1,-33.92441416701566,-32.742476087929205,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.76515032798991,-327.6515032798991,bad,adjunct_island,120,syntax,island_effects,trigram10,-33.963592173870026,-32.76515032798991,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.963592173870026,-339.63592173870023,good,adjunct_island,120,syntax,island_effects,trigram10,-33.963592173870026,-32.76515032798991,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.66966065402713,-326.6966065402713,bad,adjunct_island,120,syntax,island_effects,trigram2,-33.88514246493234,-32.66966065402713,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.88514246493234,-338.85142464932346,good,adjunct_island,120,syntax,island_effects,trigram2,-33.88514246493234,-32.66966065402713,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.711326838872225,-327.11326838872225,bad,adjunct_island,120,syntax,island_effects,trigram3,-33.920536480371304,-32.711326838872225,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.920536480371304,-339.20536480371305,good,adjunct_island,120,syntax,island_effects,trigram3,-33.920536480371304,-32.711326838872225,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.77672239153644,-327.7672239153644,bad,adjunct_island,120,syntax,island_effects,trigram4,-33.97665193023878,-32.77672239153644,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.97665193023878,-339.7665193023878,good,adjunct_island,120,syntax,island_effects,trigram4,-33.97665193023878,-32.77672239153644,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.79449872081075,-327.94498720810753,bad,adjunct_island,120,syntax,island_effects,trigram5,-33.99989130896386,-32.79449872081075,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.99989130896386,-339.9989130896386,good,adjunct_island,120,syntax,island_effects,trigram5,-33.99989130896386,-32.79449872081075,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.68422631489405,-326.84226314894045,bad,adjunct_island,120,syntax,island_effects,trigram6,-33.892041395667505,-32.68422631489405,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.892041395667505,-338.9204139566751,good,adjunct_island,120,syntax,island_effects,trigram6,-33.892041395667505,-32.68422631489405,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.88633637830187,-328.8633637830187,bad,adjunct_island,120,syntax,island_effects,trigram7,-33.99653394539679,-32.88633637830187,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.99653394539679,-339.96533945396794,good,adjunct_island,120,syntax,island_effects,trigram7,-33.99653394539679,-32.88633637830187,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.871456407564395,-328.7145640756439,bad,adjunct_island,120,syntax,island_effects,trigram8,-33.98719110110068,-32.871456407564395,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.98719110110068,-339.8719110110068,good,adjunct_island,120,syntax,island_effects,trigram8,-33.98719110110068,-32.871456407564395,FALSE
what was Name bringing a popsicle while bringing *T* ?,-32.78035346992,-327.8035346992,bad,adjunct_island,120,syntax,island_effects,trigram9,-33.96930386626114,-32.78035346992,FALSE
what was Name bringing *T* while bringing a popsicle ?,-33.96930386626114,-339.69303866261146,good,adjunct_island,120,syntax,island_effects,trigram9,-33.96930386626114,-32.78035346992,FALSE
what has Name broken every carriage without breaking *T* ?,-33.200972338001314,-332.00972338001316,bad,adjunct_island,131,syntax,island_effects,trigram1,-34.28291041708778,-33.200972338001314,FALSE
what has Name broken *T* without breaking every carriage ?,-34.28291041708778,-342.82910417087777,good,adjunct_island,131,syntax,island_effects,trigram1,-34.28291041708778,-33.200972338001314,FALSE
what has Name broken every carriage without breaking *T* ?,-32.987389570123554,-329.87389570123554,bad,adjunct_island,131,syntax,island_effects,trigram10,-33.92733516593155,-32.987389570123554,FALSE
what has Name broken *T* without breaking every carriage ?,-33.92733516593155,-339.27335165931555,good,adjunct_island,131,syntax,island_effects,trigram10,-33.92733516593155,-32.987389570123554,FALSE
what has Name broken every carriage without breaking *T* ?,-33.23970462584124,-332.39704625841244,bad,adjunct_island,131,syntax,island_effects,trigram2,-34.255186436746456,-33.23970462584124,FALSE
what has Name broken *T* without breaking every carriage ?,-34.255186436746456,-342.5518643674646,good,adjunct_island,131,syntax,island_effects,trigram2,-34.255186436746456,-33.23970462584124,FALSE
what has Name broken every carriage without breaking *T* ?,-33.18137081068633,-331.8137081068633,bad,adjunct_island,131,syntax,island_effects,trigram3,-34.29058045218541,-33.18137081068633,FALSE
what has Name broken *T* without breaking every carriage ?,-34.29058045218541,-342.9058045218541,good,adjunct_island,131,syntax,island_effects,trigram3,-34.29058045218541,-33.18137081068633,FALSE
what has Name broken every carriage without breaking *T* ?,-32.87672239153644,-328.7672239153644,bad,adjunct_island,131,syntax,island_effects,trigram4,-33.97665193023878,-32.87672239153644,FALSE
what has Name broken *T* without breaking every carriage ?,-33.97665193023878,-339.7665193023878,good,adjunct_island,131,syntax,island_effects,trigram4,-33.97665193023878,-32.87672239153644,FALSE
what has Name broken every carriage without breaking *T* ?,-32.96819528022738,-329.68195280227377,bad,adjunct_island,131,syntax,island_effects,trigram5,-33.973587868380484,-32.96819528022738,FALSE
what has Name broken *T* without breaking every carriage ?,-33.973587868380484,-339.73587868380486,good,adjunct_island,131,syntax,island_effects,trigram5,-33.973587868380484,-32.96819528022738,FALSE
what has Name broken every carriage without breaking *T* ?,-33.15971506511039,-331.5971506511039,bad,adjunct_island,131,syntax,island_effects,trigram6,-34.20903389581174,-33.15971506511039,FALSE
what has Name broken *T* without breaking every carriage ?,-34.20903389581174,-342.0903389581174,good,adjunct_island,131,syntax,island_effects,trigram6,-34.20903389581174,-33.15971506511039,FALSE
what has Name broken every carriage without breaking *T* ?,-33.3185291877906,-333.185291877906,bad,adjunct_island,131,syntax,island_effects,trigram7,-34.32872675488552,-33.3185291877906,FALSE
what has Name broken *T* without breaking every carriage ?,-34.32872675488552,-343.28726754885525,good,adjunct_island,131,syntax,island_effects,trigram7,-34.32872675488552,-33.3185291877906,FALSE
what has Name broken every carriage without breaking *T* ?,-32.87925665876453,-328.7925665876453,bad,adjunct_island,131,syntax,island_effects,trigram8,-33.9364951022287,-32.87925665876453,FALSE
what has Name broken *T* without breaking every carriage ?,-33.9364951022287,-339.36495102228696,good,adjunct_island,131,syntax,island_effects,trigram8,-33.9364951022287,-32.87925665876453,FALSE
what has Name broken every carriage without breaking *T* ?,-33.25039744173411,-332.5039744173411,bad,adjunct_island,131,syntax,island_effects,trigram9,-34.339347838075255,-33.25039744173411,FALSE
what has Name broken *T* without breaking every carriage ?,-34.339347838075255,-343.3934783807526,good,adjunct_island,131,syntax,island_effects,trigram9,-34.339347838075255,-33.25039744173411,FALSE
what will Name fix the bike without fixing *T* ?,-32.968779528512584,-329.68779528512584,bad,adjunct_island,197,syntax,island_effects,trigram1,-33.85071760759904,-32.968779528512584,FALSE
what will Name fix *T* without fixing the bike ?,-33.85071760759904,-338.5071760759904,good,adjunct_island,197,syntax,island_effects,trigram1,-33.85071760759904,-32.968779528512584,FALSE
what will Name fix the bike without fixing *T* ?,-33.02364657806202,-330.2364657806202,bad,adjunct_island,197,syntax,island_effects,trigram10,-33.963592173870026,-33.02364657806202,FALSE
what will Name fix *T* without fixing the bike ?,-33.963592173870026,-339.63592173870023,good,adjunct_island,197,syntax,island_effects,trigram10,-33.963592173870026,-33.02364657806202,FALSE
