Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
what was Name bringing a popsicle while bringing *T* ?,-18.929605925204168,-208.22566517724584,bad,adjunct_island,120,syntax,island_effects,bigram1,-19.91318599710095,-18.929605925204168,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.91318599710095,-219.04504596811046,good,adjunct_island,120,syntax,island_effects,bigram1,-19.91318599710095,-18.929605925204168,FALSE
what was Name bringing a popsicle while bringing *T* ?,-18.77009158531417,-206.47100743845584,bad,adjunct_island,120,syntax,island_effects,bigram10,-19.768675081568816,-18.77009158531417,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.768675081568816,-217.455425897257,good,adjunct_island,120,syntax,island_effects,bigram10,-19.768675081568816,-18.77009158531417,FALSE
what was Name bringing a popsicle while bringing *T* ?,-18.7555277514108,-206.31080526551875,bad,adjunct_island,120,syntax,island_effects,bigram2,-19.769602124960983,-18.7555277514108,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.769602124960983,-217.46562337457084,good,adjunct_island,120,syntax,island_effects,bigram2,-19.769602124960983,-18.7555277514108,FALSE
what was Name bringing a popsicle while bringing *T* ?,-18.880316867395564,-207.68348554135122,bad,adjunct_island,120,syntax,island_effects,bigram3,-19.88868926875837,-18.880316867395564,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.88868926875837,-218.77558195634202,good,adjunct_island,120,syntax,island_effects,bigram3,-19.88868926875837,-18.880316867395564,FALSE
what was Name bringing a popsicle while bringing *T* ?,-18.90823127718608,-207.99054404904683,bad,adjunct_island,120,syntax,island_effects,bigram4,-19.90816722146093,-18.90823127718608,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.90816722146093,-218.98983943607024,good,adjunct_island,120,syntax,island_effects,bigram4,-19.90816722146093,-18.90823127718608,FALSE
what was Name bringing a popsicle while bringing *T* ?,-18.806328946798278,-206.86961841478103,bad,adjunct_island,120,syntax,island_effects,bigram5,-19.811231299664737,-18.806328946798278,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.811231299664737,-217.92354429631212,good,adjunct_island,120,syntax,island_effects,bigram5,-19.811231299664737,-18.806328946798278,FALSE
what was Name bringing a popsicle while bringing *T* ?,-18.85976078086352,-207.4573685894987,bad,adjunct_island,120,syntax,island_effects,bigram6,-19.866865399748487,-18.85976078086352,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.866865399748487,-218.53551939723337,good,adjunct_island,120,syntax,island_effects,bigram6,-19.866865399748487,-18.85976078086352,FALSE
what was Name bringing a popsicle while bringing *T* ?,-19.06005518923028,-209.66060708153304,bad,adjunct_island,120,syntax,island_effects,bigram7,-20.06932570477112,-19.06005518923028,FALSE
what was Name bringing *T* while bringing a popsicle ?,-20.06932570477112,-220.76258275248227,good,adjunct_island,120,syntax,island_effects,bigram7,-20.06932570477112,-19.06005518923028,FALSE
what was Name bringing a popsicle while bringing *T* ?,-18.883334757227946,-207.71668232950736,bad,adjunct_island,120,syntax,island_effects,bigram8,-19.897639024079112,-18.883334757227946,FALSE
what was Name bringing *T* while bringing a popsicle ?,-19.897639024079112,-218.87402926487022,good,adjunct_island,120,syntax,island_effects,bigram8,-19.897639024079112,-18.883334757227946,FALSE
what was Name bringing a popsicle while bringing *T* ?,-19.004042723849143,-209.0444699623406,bad,adjunct_island,120,syntax,island_effects,bigram9,-19.993997629613823,-19.004042723849143,FALSE
