Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
Name went fishing Name .,-17.35832072645868,-104.14992435875207,bad,causative,116,syntax,argument_structure,bigram1,-17.19165405979201,-17.35832072645868,TRUE
Name sits down Name .,-17.19165405979201,-103.14992435875207,good,causative,116,syntax,argument_structure,bigram1,-17.19165405979201,-17.35832072645868,TRUE
Name went fishing Name .,-17.38963307957344,-104.33779847744063,bad,causative,116,syntax,argument_structure,bigram10,-17.38963307957344,-17.38963307957344,FALSE
Name sits down Name .,-17.38963307957344,-104.33779847744063,good,causative,116,syntax,argument_structure,bigram10,-17.38963307957344,-17.38963307957344,FALSE
Name went fishing Name .,-17.185222663176216,-103.11133597905729,bad,causative,116,syntax,argument_structure,bigram2,-17.185222663176216,-17.185222663176216,FALSE
Name sits down Name .,-17.185222663176216,-103.11133597905729,good,causative,116,syntax,argument_structure,bigram2,-17.185222663176216,-17.185222663176216,FALSE
Name went fishing Name .,-17.26079373967848,-103.56476243807089,bad,causative,116,syntax,argument_structure,bigram3,-17.26079373967848,-17.26079373967848,FALSE
Name sits down Name .,-17.26079373967848,-103.56476243807087,good,causative,116,syntax,argument_structure,bigram3,-17.26079373967848,-17.26079373967848,FALSE
Name went fishing Name .,-17.47293278764707,-104.83759672588243,bad,causative,116,syntax,argument_structure,bigram4,-17.306266120980407,-17.47293278764707,TRUE
Name sits down Name .,-17.306266120980407,-103.83759672588243,good,causative,116,syntax,argument_structure,bigram4,-17.306266120980407,-17.47293278764707,TRUE
Name went fishing Name .,-17.245319392654824,-103.47191635592895,bad,causative,116,syntax,argument_structure,bigram5,-17.245319392654824,-17.245319392654824,FALSE
Name sits down Name .,-17.245319392654824,-103.47191635592895,good,causative,116,syntax,argument_structure,bigram5,-17.245319392654824,-17.245319392654824,FALSE
Name went fishing Name .,-17.228743290015842,-103.37245974009505,bad,causative,116,syntax,argument_structure,bigram6,-17.175088607534615,-17.228743290015842,TRUE
Name sits down Name .,-17.175088607534615,-103.0505316452077,good,causative,116,syntax,argument_structure,bigram6,-17.175088607534615,-17.228743290015842,TRUE
Name went fishing Name .,-17.418652213773488,-104.51191328264093,bad,causative,116,syntax,argument_structure,bigram7,-17.349479297227017,-17.418652213773488,TRUE
Name sits down Name .,-17.349479297227017,-104.0968757833621,good,causative,116,syntax,argument_structure,bigram7,-17.349479297227017,-17.418652213773488,TRUE
Name went fishing Name .,-17.278597123114835,-103.67158273868901,bad,causative,116,syntax,argument_structure,bigram8,-17.20942420656836,-17.278597123114835,TRUE
Name sits down Name .,-17.20942420656836,-103.25654523941017,good,causative,116,syntax,argument_structure,bigram8,-17.20942420656836,-17.278597123114835,TRUE
Name went fishing Name .,-17.411556019053872,-104.46933611432324,bad,causative,116,syntax,argument_structure,bigram9,-17.244889352387208,-17.411556019053872,TRUE
