Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
what might Name fire children ?,-5.183166027069092,-36.282161712646484,what ? do 's *T* *T*,"[-2.40301251411438, -8.824156761169434, -3.6917452812194824, -10.671339988708496, -8.992798805236816, -1.697763204574585, -0.001342587056569755]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample1,-6.085689067840576,-5.183166027069092,FALSE
Name might fire what children ?,-6.085689067840576,-42.599822998046875,"what , be out ? .","[-3.038832426071167, -8.730422019958496, -10.507500648498535, -8.129533767700195, -10.174610137939453, -2.0183613300323486, -0.0005647733341902494]",good,left_branch_island_echo_question,107,syntax,island_effects,sample1,-6.085689067840576,-5.183166027069092,FALSE
what might Name fire children ?,-5.399389743804932,-37.79572677612305,what ? do do ? ?,"[-2.221172332763672, -8.262019157409668, -4.585303783416748, -11.768921852111816, -10.733122825622559, -0.22443808615207672, -0.0007476395112462342]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample10,-5.445597171783447,-5.399389743804932,FALSE
Name might fire what children ?,-5.445597171783447,-38.119178771972656,"what , break ? ? ?","[-3.5443806648254395, -8.007222175598145, -9.868450164794922, -4.080338478088379, -11.948326110839844, -0.6701873540878296, -0.00027616979787126184]",good,left_branch_island_echo_question,107,syntax,island_effects,sample10,-5.445597171783447,-5.399389743804932,FALSE
what might Name fire children ?,-5.094543933868408,-35.661808013916016,what is do ? ? ?,"[-1.9041599035263062, -9.795876502990723, -4.509215831756592, -10.418365478515625, -8.920276641845703, -0.11335647106170654, -0.0005577438860200346]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample2,-5.837583065032959,-5.094543933868408,FALSE
Name might fire what children ?,-5.837583065032959,-40.86308288574219,"what , have out ? ?","[-3.3328781127929688, -7.723086357116699, -10.159383773803711, -6.172882556915283, -13.294731140136719, -0.1799105703830719, -0.00021371940965764225]",good,left_branch_island_echo_question,107,syntax,island_effects,sample2,-5.837583065032959,-5.094543933868408,FALSE
what might Name fire children ?,-5.979323387145996,-41.855262756347656,what is do do *T* *T*,"[-2.3718154430389404, -7.7473955154418945, -7.039815902709961, -9.818778991699219, -12.345864295959473, -2.530721426010132, -0.0008671099785715342]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample3,-5.705584526062012,-5.979323387145996,TRUE
Name might fire what children ?,-5.705584526062012,-39.939090728759766,what . have ? ? ?,"[-3.209115743637085, -6.6898698806762695, -10.80216121673584, -6.386361122131348, -11.826461791992188, -1.024710774421692, -0.00041083001997321844]",good,left_branch_island_echo_question,107,syntax,island_effects,sample3,-5.705584526062012,-5.979323387145996,TRUE
what might Name fire children ?,-5.125794887542725,-35.88056564331055,what is do ? *T* *T*,"[-2.3666958808898926, -8.006741523742676, -4.695469856262207, -10.111702919006348, -8.837697982788086, -1.8609057664871216, -0.0013546108966693282]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample4,-5.237335205078125,-5.125794887542725,FALSE
Name might fire what children ?,-5.237335205078125,-36.661346435546875,"what , have out ? ?","[-3.3675284385681152, -7.477785110473633, -9.756396293640137, -4.881657600402832, -10.785408973693848, -0.39216822385787964, -0.00040260792593471706]",good,left_branch_island_echo_question,107,syntax,island_effects,sample4,-5.237335205078125,-5.125794887542725,FALSE
what might Name fire children ?,-5.629092693328857,-39.403648376464844,what is do *T* *T* *T*,"[-2.1598806381225586, -8.916268348693848, -5.422457218170166, -9.642165184020996, -10.728113174438477, -2.534217357635498, -0.0005497612874023616]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample5,-5.360477447509766,-5.629092693328857,TRUE
Name might fire what children ?,-5.360477447509766,-37.52334213256836,"what , be ? ? ?","[-2.9871325492858887, -7.528014183044434, -9.96279239654541, -5.569561958312988, -10.858843803405762, -0.6168550848960876, -0.00014399446081370115]",good,left_branch_island_echo_question,107,syntax,island_effects,sample5,-5.360477447509766,-5.629092693328857,TRUE
what might Name fire children ?,-5.383553504943848,-37.68487548828125,what ? do do *T* *T*,"[-2.146918535232544, -8.082530975341797, -3.6270899772644043, -11.780366897583008, -9.60527229309082, -2.441577196121216, -0.0011201781453564763]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample6,-5.360903263092041,-5.383553504943848,TRUE
Name might fire what children ?,-5.360903263092041,-37.52632141113281,"what , hurt . ? ?","[-3.349701166152954, -7.834057807922363, -10.048943519592285, -6.15908670425415, -9.151007652282715, -0.9830235242843628, -0.0005011494504287839]",good,left_branch_island_echo_question,107,syntax,island_effects,sample6,-5.360903263092041,-5.383553504943848,TRUE
what might Name fire children ?,-5.8717942237854,-41.10255813598633,what ? do *T* *T* *T*,"[-1.9684025049209595, -8.449972152709961, -7.079923629760742, -12.67774772644043, -9.121620178222656, -1.8041903972625732, -0.0007014198345132172]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample7,-5.704902648925781,-5.8717942237854,TRUE
Name might fire what children ?,-5.704902648925781,-39.93431854248047,"what , hurt . ? ?","[-3.405649185180664, -6.953808784484863, -11.537121772766113, -6.683769226074219, -10.682979583740234, -0.670575737953186, -0.00041416651220060885]",good,left_branch_island_echo_question,107,syntax,island_effects,sample7,-5.704902648925781,-5.8717942237854,TRUE
what might Name fire children ?,-5.239366054534912,-36.67556381225586,what is do *T* *T* ?,"[-2.2101192474365234, -7.750282287597656, -5.490583896636963, -11.292399406433105, -8.6617431640625, -1.2693885564804077, -0.0010482537327334285]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample8,-5.554080486297607,-5.239366054534912,FALSE
Name might fire what children ?,-5.554080486297607,-38.878562927246094,"what , be engine ? ?","[-3.1054515838623047, -7.071470260620117, -11.3544340133667, -6.751421928405762, -10.24052619934082, -0.3548271059989929, -0.00043156370520591736]",good,left_branch_island_echo_question,107,syntax,island_effects,sample8,-5.554080486297607,-5.239366054534912,FALSE
what might Name fire children ?,-5.053339958190918,-35.37337875366211,what ? do is *T* *T*,"[-2.265498638153076, -7.957706928253174, -4.1158037185668945, -9.552393913269043, -9.10629653930664, -2.374941110610962, -0.0007352509419433773]",bad,left_branch_island_echo_question,107,syntax,island_effects,sample9,-5.300475120544434,-5.053339958190918,FALSE
Name might fire what children ?,-5.300475120544434,-37.10332489013672,"what , break truck ? 's","[-3.224195957183838, -7.361689567565918, -7.640769958496094, -5.046504974365234, -10.781344413757324, -3.04819655418396, -0.0006214833119884133]",good,left_branch_island_echo_question,107,syntax,island_effects,sample9,-5.300475120544434,-5.053339958190918,FALSE
Name is thinking about whose apples ?,-4.714021682739258,-37.71217346191406,"what , for . Name house ?","[-3.038832426071167, -3.1910829544067383, -9.156089782714844, -3.8141326904296875, -6.991406440734863, -11.268088340759277, -0.25171959400177, -0.0008212531101889908]",good,left_branch_island_echo_question,117,syntax,island_effects,sample1,-4.714021682739258,-5.139873504638672,TRUE
whose is Name thinking about apples ?,-5.139873504638672,-41.118988037109375,what suitcase that *T* *T* *T* *T*,"[-6.089838027954102, -3.0862936973571777, -2.827727794647217, -12.270771026611328, -4.4051103591918945, -11.133400917053223, -1.3047175407409668, -0.0011297041783109307]",bad,left_branch_island_echo_question,117,syntax,island_effects,sample1,-4.714021682739258,-5.139873504638672,TRUE
Name is thinking about whose apples ?,-5.397811412811279,-43.182491302490234,"what , for ? that ? ?","[-3.5443806648254395, -2.6201326847076416, -9.043458938598633, -5.8027424812316895, -10.540939331054688, -11.393475532531738, -0.2368658035993576, -0.000494715350214392]",good,left_branch_island_echo_question,117,syntax,island_effects,sample10,-5.397811412811279,-5.881034851074219,TRUE
whose is Name thinking about apples ?,-5.881034851074219,-47.04827880859375,what suitcase that Name *T* *T* ?,"[-6.317966461181641, -4.379956245422363, -3.89742374420166, -12.409675598144531, -7.220044136047363, -12.189175605773926, -0.6331291198730469, -0.0009067714563570917]",bad,left_branch_island_echo_question,117,syntax,island_effects,sample10,-5.397811412811279,-5.881034851074219,TRUE
Name is thinking about whose apples ?,-5.586410999298096,-44.691287994384766,"what , for ? Name ? ?","[-3.3328781127929688, -2.771517753601074, -14.162832260131836, -4.184179306030273, -7.774530410766602, -12.402111053466797, -0.06285060197114944, -0.0003906917118001729]",good,left_branch_island_echo_question,117,syntax,island_effects,sample2,-5.586410999298096,-4.6497111320495605,FALSE
whose is Name thinking about apples ?,-4.6497111320495605,-37.197689056396484,what suitcase that *T* ? *T* ?,"[-6.7389912605285645, -2.548025608062744, -4.105345249176025, -10.398531913757324, -2.850482225418091, -10.5376615524292, -0.018221251666545868, -0.00042822727118618786]",bad,left_branch_island_echo_question,117,syntax,island_effects,sample2,-5.586410999298096,-4.6497111320495605,FALSE
Name is thinking about whose apples ?,-5.787385940551758,-46.29908752441406,what . for ? Name ? ?,"[-3.209115743637085, -2.775151491165161, -11.222390174865723, -7.036098003387451, -7.103188514709473, -14.913512229919434, -0.03903519734740257, -0.0005964645533822477]",good,left_branch_island_echo_question,117,syntax,island_effects,sample3,-5.787385940551758,-6.243123531341553,TRUE
whose is Name thinking about apples ?,-6.243123531341553,-49.94498825073242,what house that ? ? ? ?,"[-6.243175506591797, -3.067108631134033, -4.533245086669922, -12.968343734741211, -6.702317237854004, -16.40633201599121, -0.02308155968785286, -0.0013808010844513774]",bad,left_branch_island_echo_question,117,syntax,island_effects,sample3,-5.787385940551758,-6.243123531341553,TRUE
Name is thinking about whose apples ?,-5.107049942016602,-40.85639953613281,"what , for . Name house ?","[-3.3675284385681152, -2.9310076236724854, -9.42300796508789, -4.918383598327637, -8.478201866149902, -11.520029067993164, -0.21766027808189392, -0.0005785936955362558]",good,left_branch_island_echo_question,117,syntax,island_effects,sample4,-5.107049942016602,-5.172840118408203,TRUE
whose is Name thinking about apples ?,-5.172840118408203,-41.382720947265625,what house that *T* *T* *T* ?,"[-6.669076919555664, -2.875271797180176, -4.920995712280273, -11.326642036437988, -3.9323437213897705, -11.617968559265137, -0.03952702134847641, -0.0008920027757994831]",bad,left_branch_island_echo_question,117,syntax,island_effects,sample4,-5.107049942016602,-5.172840118408203,TRUE
Name is thinking about whose apples ?,-4.972286701202393,-39.77829360961914,"what , for ? Name house ?","[-2.9871325492858887, -2.882777690887451, -9.180937767028809, -4.668405532836914, -9.059301376342773, -10.868904113769531, -0.1304566115140915, -0.0003780603874474764]",good,left_branch_island_echo_question,117,syntax,island_effects,sample5,-4.972286701202393,-5.1778645515441895,TRUE
whose is Name thinking about apples ?,-5.1778645515441895,-41.422916412353516,what shadow that *T* *T* *T* *T*,"[-6.236332416534424, -3.3876423835754395, -3.217982053756714, -10.376996040344238, -5.965635776519775, -11.230055809020996, -1.007567286491394, -0.0007040405762381852]",bad,left_branch_island_echo_question,117,syntax,island_effects,sample5,-4.972286701202393,-5.1778645515441895,TRUE
