Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
the eye visited Name .,-5.040185451507568,-30.241113662719727,what what . the ?,"[-4.740185260772705, -7.65631103515625, -12.44983196258545, -3.2913341522216797, -2.1030972003936768, -0.0003554189461283386]",bad,animate_subject_trans,1,syntax,s-selection,sample1,-4.489346504211426,-5.040185451507568,TRUE
Name visited Name .,-4.489346504211426,-22.446733474731445,"what , the ?","[-3.038832426071167, -13.975770950317383, -2.8390369415283203, -2.592643976211548, -0.00044943721150048077]",good,animate_subject_trans,1,syntax,s-selection,sample1,-4.489346504211426,-5.040185451507568,TRUE
the eye visited Name .,-5.474048614501953,-32.84429168701172,what other . ? .,"[-4.7637529373168945, -9.18091106414795, -11.354280471801758, -6.2922234535217285, -1.2528170347213745, -0.00030524839530698955]",bad,animate_subject_trans,1,syntax,s-selection,sample10,-5.226761817932129,-5.474048614501953,TRUE
Name visited Name .,-5.226761817932129,-26.13381004333496,"what , ? Name","[-3.5443806648254395, -13.593274116516113, -6.885056972503662, -2.1107451915740967, -0.00035315475543029606]",good,animate_subject_trans,1,syntax,s-selection,sample10,-5.226761817932129,-5.474048614501953,TRUE
the eye visited Name .,-5.1665940284729,-30.999563217163086,what other 's END 's,"[-4.622214317321777, -7.826594352722168, -11.846814155578613, -4.601301193237305, -2.1023969650268555, -0.0002420847595203668]",bad,animate_subject_trans,1,syntax,s-selection,sample2,-4.019859313964844,-5.1665940284729,TRUE
Name visited Name .,-4.019859313964844,-20.09929656982422,"what , . .","[-3.3328781127929688, -13.543607711791992, -2.1975479125976562, -1.0248537063598633, -0.00040975757292471826]",good,animate_subject_trans,1,syntax,s-selection,sample2,-4.019859313964844,-5.1665940284729,TRUE
the eye visited Name .,-5.333994388580322,-32.00396728515625,what other is ? 's,"[-4.511109352111816, -8.89770221710205, -9.98871898651123, -5.668285369873047, -2.937566041946411, -0.0005864569102413952]",bad,animate_subject_trans,1,syntax,s-selection,sample3,-4.623110771179199,-5.333994388580322,TRUE
Name visited Name .,-4.623110771179199,-23.115554809570312,what . . Name,"[-3.209115743637085, -13.341961860656738, -4.6410932540893555, -1.9229011535644531, -0.00048196621355600655]",good,animate_subject_trans,1,syntax,s-selection,sample3,-4.623110771179199,-5.333994388580322,TRUE
the eye visited Name .,-4.691227436065674,-28.147363662719727,what other ? the ?,"[-4.537508010864258, -8.436366081237793, -10.519253730773926, -2.8718388080596924, -1.78171706199646, -0.0006793813081458211]",bad,animate_subject_trans,1,syntax,s-selection,sample4,-3.956844806671143,-4.691227436065674,TRUE
Name visited Name .,-3.956844806671143,-19.784223556518555,"what , the .","[-3.3675284385681152, -12.942551612854004, -2.4591357707977295, -1.0144082307815552, -0.0005993238883093]",good,animate_subject_trans,1,syntax,s-selection,sample4,-3.956844806671143,-4.691227436065674,TRUE
the eye visited Name .,-5.6908860206604,-34.14531707763672,what other ? ? ?,"[-4.510894775390625, -8.47667407989502, -11.766114234924316, -7.155562877655029, -2.235652208328247, -0.00041714549297466874]",bad,animate_subject_trans,1,syntax,s-selection,sample5,-4.55096435546875,-5.6908860206604,TRUE
Name visited Name .,-4.55096435546875,-22.75482177734375,"what , . .","[-2.9871325492858887, -13.242341041564941, -5.756035327911377, -0.7688950300216675, -0.0004188137245364487]",good,animate_subject_trans,1,syntax,s-selection,sample5,-4.55096435546875,-5.6908860206604,TRUE
the eye visited Name .,-5.677149295806885,-34.062896728515625,what what ? ? ?,"[-4.533783912658691, -10.809406280517578, -11.315851211547852, -5.906701564788818, -1.496476650238037, -0.0006754500791430473]",bad,animate_subject_trans,1,syntax,s-selection,sample6,-4.667932510375977,-5.677149295806885,TRUE
Name visited Name .,-4.667932510375977,-23.339662551879883,"what , ? ?","[-3.349701166152954, -14.167583465576172, -4.3173508644104, -1.5045759677886963, -0.00045193947153165936]",good,animate_subject_trans,1,syntax,s-selection,sample6,-4.667932510375977,-5.677149295806885,TRUE
the eye visited Name .,-5.30872917175293,-31.852375030517578,what what . . .,"[-4.482053756713867, -10.02794361114502, -13.841561317443848, -3.1995010375976562, -0.3003847599029541, -0.0009303532424382865]",bad,animate_subject_trans,1,syntax,s-selection,sample7,-4.471115112304688,-5.30872917175293,TRUE
