Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
those friends of Name were painting .,-5.798417091369629,-46.38733673095703,what are are the 's . .,"[-6.083106994628906, -12.405091285705566, -9.55591869354248, -2.849391460418701, -7.28570032119751, -8.162088394165039, -0.04572572186589241, -0.00030751267331652343]",good,intransitive,13,syntax,argument_structure,sample1,-5.798417091369629,-5.9048380851745605,TRUE
those friends of Name were walking through .,-5.9048380851745605,-53.1435432434082,what are are the 's . . the,"[-6.083106994628906, -12.405091285705566, -9.55591869354248, -2.849391460418701, -7.28570032119751, -6.013379096984863, -5.9808669090271, -2.9698169231414795, -0.0002693767019081861]",bad,intransitive,13,syntax,argument_structure,sample1,-5.798417091369629,-5.9048380851745605,TRUE
those friends of Name were painting .,-5.298821449279785,-42.39057159423828,what are . the 's n't .,"[-6.360715866088867, -9.642388343811035, -8.171112060546875, -3.388381242752075, -8.199275016784668, -6.391908645629883, -0.23649661242961884, -0.0002903516869992018]",good,intransitive,13,syntax,argument_structure,sample10,-5.298821449279785,-6.104639053344727,TRUE
those friends of Name were walking through .,-6.104639053344727,-54.94175338745117,what are . the 's n't . the,"[-6.360715866088867, -9.642388343811035, -8.171112060546875, -3.388381242752075, -8.199275016784668, -5.998307228088379, -8.898933410644531, -4.282159328460693, -0.0004836343287024647]",bad,intransitive,13,syntax,argument_structure,sample10,-5.298821449279785,-6.104639053344727,TRUE
those friends of Name were painting .,-4.620473861694336,-36.96379089355469,what are are the 's you .,"[-6.065553188323975, -8.858428955078125, -4.290311336517334, -2.7028279304504395, -6.643732070922852, -8.281085968017578, -0.12127163261175156, -0.000576449150685221]",good,intransitive,13,syntax,argument_structure,sample2,-4.620473861694336,-5.442305564880371,TRUE
those friends of Name were walking through .,-5.442305564880371,-48.980751037597656,what are are the 's you . the,"[-6.065553188323975, -8.858428955078125, -4.290311336517334, -2.7028279304504395, -6.643732070922852, -7.462251663208008, -7.698606967926025, -5.258686542510986, -0.0003510097449179739]",bad,intransitive,13,syntax,argument_structure,sample2,-4.620473861694336,-5.442305564880371,TRUE
those friends of Name were painting .,-5.440745830535889,-43.52596664428711,what are are butter 's you .,"[-6.173777103424072, -11.985899925231934, -7.524682521820068, -3.118300199508667, -6.475876808166504, -8.230144500732422, -0.017005696892738342, -0.0002798642381094396]",good,intransitive,13,syntax,argument_structure,sample3,-5.440745830535889,-6.040173053741455,TRUE
those friends of Name were walking through .,-6.040173053741455,-54.36155700683594,what are are butter 's you . the,"[-6.173777103424072, -11.985899925231934, -7.524682521820068, -3.118300199508667, -6.475876808166504, -7.462089538574219, -7.301126480102539, -4.319610595703125, -0.00019095504831057042]",bad,intransitive,13,syntax,argument_structure,sample3,-5.440745830535889,-6.040173053741455,TRUE
those friends of Name were painting .,-5.827065944671631,-46.61652755737305,what are . the . you .,"[-6.248260498046875, -9.241545677185059, -6.1420698165893555, -2.922502040863037, -9.037607192993164, -13.005130767822266, -0.019022300839424133, -0.00038509105797857046]",good,intransitive,13,syntax,argument_structure,sample4,-5.827065944671631,-5.763991355895996,FALSE
those friends of Name were walking through .,-5.763991355895996,-51.87592315673828,what are . the . you . .,"[-6.248260498046875, -9.241545677185059, -6.1420698165893555, -2.922502040863037, -9.037607192993164, -8.263337135314941, -9.052748680114746, -0.9674159288406372, -0.0004359725280664861]",bad,intransitive,13,syntax,argument_structure,sample4,-5.827065944671631,-5.763991355895996,FALSE
