Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
some children are going fishing Name .,-5.295788288116455,-42.36630630493164,what what . . to . .,"[-5.93073844909668, -5.349593639373779, -4.06971549987793, -6.644459247589111, -10.63228702545166, -9.562779426574707, -0.17625285685062408, -0.0004801789182238281]",bad,transitive,118,syntax,argument_structure,sample1,-3.499173164367676,-5.295788288116455,TRUE
some children are talking about Name .,-3.499173164367676,-27.993385314941406,what what . . . Name .,"[-5.93073844909668, -5.349593639373779, -4.06971549987793, -7.2685675621032715, -4.093813419342041, -0.9514368772506714, -0.32921290397644043, -0.00030632095877081156]",good,transitive,118,syntax,argument_structure,sample1,-3.499173164367676,-5.295788288116455,TRUE
some children are going fishing Name .,-5.50681209564209,-44.05449676513672,what what ? ? up ? ?,"[-5.792550086975098, -6.0801310539245605, -6.257439136505127, -5.724778175354004, -9.409625053405762, -8.0748872756958, -2.714803457260132, -0.00028796817059628665]",bad,transitive,118,syntax,argument_structure,sample10,-4.2073163986206055,-5.50681209564209,TRUE
some children are talking about Name .,-4.2073163986206055,-33.658531188964844,what what ? ? ? the ?,"[-5.792550086975098, -6.0801310539245605, -6.257439136505127, -6.812934875488281, -4.675912380218506, -2.093924045562744, -1.9454296827316284, -0.00020823694649152458]",good,transitive,118,syntax,argument_structure,sample10,-4.2073163986206055,-5.50681209564209,TRUE
some children are going fishing Name .,-5.1885199546813965,-41.50815963745117,what what . . to . .,"[-5.757920265197754, -5.714475631713867, -4.42664909362793, -5.05942440032959, -8.63303279876709, -11.103433609008789, -0.81167072057724, -0.0015491163358092308]",bad,transitive,118,syntax,argument_structure,sample2,-3.6599154472351074,-5.1885199546813965,TRUE
some children are talking about Name .,-3.6599154472351074,-29.27932357788086,what what . . . Name .,"[-5.757920265197754, -5.714475631713867, -4.42664909362793, -7.822454452514648, -3.339745283126831, -2.077951669692993, -0.1392592489719391, -0.0008680627797730267]",good,transitive,118,syntax,argument_structure,sample2,-3.6599154472351074,-5.1885199546813965,TRUE
some children are going fishing Name .,-5.006518363952637,-40.052146911621094,what what ? n't to . .,"[-5.763181686401367, -6.292477607727051, -4.396918296813965, -4.865520477294922, -11.348146438598633, -6.765557289123535, -0.6199146509170532, -0.000432278640801087]",bad,transitive,118,syntax,argument_structure,sample3,-3.340392589569092,-5.006518363952637,TRUE
some children are talking about Name .,-3.340392589569092,-26.723140716552734,what what ? n't to Name .,"[-5.763181686401367, -6.292477607727051, -4.396918296813965, -6.558974266052246, -2.3344244956970215, -1.2446221113204956, -0.13223059475421906, -0.0003121604095213115]",good,transitive,118,syntax,argument_structure,sample3,-3.340392589569092,-5.006518363952637,TRUE
some children are going fishing Name .,-4.697628498077393,-37.58102798461914,what macaroni on n't to . .,"[-6.037365913391113, -5.969147682189941, -2.5718581676483154, -5.093147277832031, -9.623223304748535, -7.717887878417969, -0.5681046843528748, -0.0002928543253801763]",bad,transitive,118,syntax,argument_structure,sample4,-3.453902006149292,-4.697628498077393,TRUE
some children are talking about Name .,-3.453902006149292,-27.631216049194336,what macaroni on n't to the .,"[-6.037365913391113, -5.969147682189941, -2.5718581676483154, -6.207259178161621, -4.366817951202393, -2.2956149578094482, -0.18289880454540253, -0.00025412190007045865]",good,transitive,118,syntax,argument_structure,sample4,-3.453902006149292,-4.697628498077393,TRUE
