Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
what dishes did Name mess up *T* and Name break *T* ?,what dishes did Name mess up *T* and Name break *T* ?,-65.45219909603058,-5.454349924669216,(ROOT (WHNP (P_what _what) (NNS _dishes)) (SQ (AUX _did) (NP (NP (NP _Name) (VP (VB _mess) (PRT _up) (P_*T* _*T*))) (CC _and) (NP _Name)) (VB _break) (P_*T* _*T*)) (P_? _?)),good,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample1.0.FG-output.rank-1,-5.454349924669216,-5.546862813257685,TRUE
what did Name mess up dishes and Name break *T* ?,what did Name mess up dishes and Name break *T* ?,-61.015490945834536,-5.546862813257685,(ROOT (WHNP _what) (SQ (AUX _did) (NP (NP _Name) (NP _mess) (NP (JJ _up) (NNS _dishes)) (CC _and) (NP _Name)) (VB _break) (P_*T* _*T*)) (P_? _?)),bad,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample1.0.FG-output.rank-1,-5.454349924669216,-5.546862813257685,TRUE
what dishes did Name mess up *T* and Name break *T* ?,what dishes did Name mess up *T* and Name break *T* ?,-71.86117978979703,-5.988431649149753,(ROOT (WHNP (WDT _what) (NNS _dishes)) (SQ (P_did _did) (NP (NP _Name) (NP (NN _mess) (ADVP _up)) (NP _*T*) (CC _and) (NP _Name)) (VP (VB _break) (P_*T* _*T*))) (P_? _?)),good,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample10.0.FG-output.rank-1,-5.988431649149753,-5.976117933657471,FALSE
what did Name mess up dishes and Name break *T* ?,what did Name mess up dishes and Name break *T* ?,-65.73729727023218,-5.976117933657471,(ROOT (WHNP _what) (SQ (P_did _did) (NP (NP _Name) (NP _mess) (NP (JJ _up) (NNS _dishes)) (CC _and) (NP _Name)) (VP (VB _break) (P_*T* _*T*))) (P_? _?)),bad,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample10.0.FG-output.rank-1,-5.988431649149753,-5.976117933657471,FALSE
what dishes did Name mess up *T* and Name break *T* ?,what dishes did Name mess up *T* and Name break *T* ?,-65.96043880199484,-5.49670323349957,(ROOT (WHNP (P_what _what) (NNS _dishes)) (SQ (AUX _did) (NP (NP _Name) (NN _mess) (PP (IN _up) (NP _*T*) (CC _and) (NP _Name))) (VB _break) (P_*T* _*T*)) (P_? _?)),good,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample2.0.FG-output.rank-1,-5.49670323349957,-5.306391530554219,FALSE
what did Name mess up dishes and Name break *T* ?,what did Name mess up dishes and Name break *T* ?,-58.37030683609641,-5.306391530554219,(ROOT (WP _what) (SQ (AUX _did) (NP (NP _Name) (NN _mess) (PP (IN _up) (NP _dishes) (CC _and) (NP _Name))) (VB _break) (P_*T* _*T*)) (P_? _?)),bad,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample2.0.FG-output.rank-1,-5.49670323349957,-5.306391530554219,FALSE
what dishes did Name mess up *T* and Name break *T* ?,what dishes did Name mess up *T* and Name break *T* ?,-68.3206795301212,-5.693389960843433,(ROOT (WHNP (WDT _what) (NNS _dishes)) (SQ (P_did _did) (NP (P_Name _Name) (NP (NN _mess) (PP (IN _up) (NP _*T*) (CC _and) (NP _Name)))) (VB _break) (P_*T* _*T*)) (P_? _?)),good,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample3.0.FG-output.rank-1,-5.693389960843433,-5.4597176822534,FALSE
what did Name mess up dishes and Name break *T* ?,what did Name mess up dishes and Name break *T* ?,-60.0568945047874,-5.4597176822534,(ROOT (WP _what) (SQ (P_did _did) (NP (NP _Name) (NP _mess) (NP (JJ _up) (NNS _dishes)) (P_and _and) (NP _Name)) (VB _break) (P_*T* _*T*)) (P_? _?)),bad,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample3.0.FG-output.rank-1,-5.693389960843433,-5.4597176822534,FALSE
what dishes did Name mess up *T* and Name break *T* ?,what dishes did Name mess up *T* and Name break *T* ?,-73.13079517906202,-6.094232931588501,(ROOT (SBAR (WHNP _what) (NP _dishes) (VP (VBD _did) (NP (NNP _Name) (NN _mess)) (PRT _up) (ADVP _*T*))) (CC _and) (S (NP _Name) (VP (VB _break) (P_*T* _*T*))) (. _?)),good,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample4.0.FG-output.rank-1,-6.094232931588501,-5.87483185736052,FALSE
what did Name mess up dishes and Name break *T* ?,what did Name mess up dishes and Name break *T* ?,-64.62315043096572,-5.87483185736052,(ROOT (P_what _what) (AUX _did) (NP _Name) (VP (ADVP (NN _mess) (PP (IN _up) (NP _dishes) (CC _and) (NP _Name))) (VB _break) (ADVP _*T*)) (P_? _?)),bad,coordinate_structure_constraint_complex_left_branch,273,syntax,island_effects,sample4.0.FG-output.rank-1,-6.094232931588501,-5.87483185736052,FALSE
