Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
those friends of Name were painting .,those friends of Name were painting .,-42.81675515191488,-6.116679307416412,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP _painting)) (. _.)),good,intransitive,13,syntax,argument_structure,sample1_PCFG.0.FG-output.rank-1,-6.116679307416412,-6.254787536023435,TRUE
those friends of Name were walking through .,those friends of Name were walking through .,-50.03830028818748,-6.254787536023435,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP (VBG _walking) (PP _through))) (. _.)),bad,intransitive,13,syntax,argument_structure,sample1_PCFG.0.FG-output.rank-1,-6.116679307416412,-6.254787536023435,TRUE
those friends of Name were painting .,those friends of Name were painting .,-43.96781861191843,-6.281116944559776,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP _painting)) (. _.)),good,intransitive,13,syntax,argument_structure,sample10_PCFG.0.FG-output.rank-1,-6.281116944559776,-6.351286748559133,TRUE
those friends of Name were walking through .,those friends of Name were walking through .,-50.81029398847306,-6.351286748559133,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP (VBG _walking) (PP _through))) (. _.)),bad,intransitive,13,syntax,argument_structure,sample10_PCFG.0.FG-output.rank-1,-6.281116944559776,-6.351286748559133,TRUE
those friends of Name were painting .,those friends of Name were painting .,-43.2015817074265,-6.171654529632357,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP _painting)) (. _.)),good,intransitive,13,syntax,argument_structure,sample2_PCFG.0.FG-output.rank-1,-6.171654529632357,-6.3632727068399895,TRUE
those friends of Name were walking through .,those friends of Name were walking through .,-50.906181654719916,-6.3632727068399895,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP (VBG _walking) (PP _through))) (. _.)),bad,intransitive,13,syntax,argument_structure,sample2_PCFG.0.FG-output.rank-1,-6.171654529632357,-6.3632727068399895,TRUE
those friends of Name were painting .,those friends of Name were painting .,-43.684974141310796,-6.240710591615828,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP _painting)) (. _.)),good,intransitive,13,syntax,argument_structure,sample3_PCFG.0.FG-output.rank-1,-6.240710591615828,-6.321587500252528,TRUE
those friends of Name were walking through .,those friends of Name were walking through .,-50.57270000202023,-6.321587500252528,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP (VBG _walking) (PP _through))) (. _.)),bad,intransitive,13,syntax,argument_structure,sample3_PCFG.0.FG-output.rank-1,-6.240710591615828,-6.321587500252528,TRUE
those friends of Name were painting .,those friends of Name were painting .,-44.358033370805366,-6.3368619101150525,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP _painting)) (. _.)),good,intransitive,13,syntax,argument_structure,sample4_PCFG.0.FG-output.rank-1,-6.3368619101150525,-6.337910903122671,TRUE
those friends of Name were walking through .,those friends of Name were walking through .,-50.703287224981366,-6.337910903122671,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (AUX _were) (VP (VBG _walking) (PP _through))) (. _.)),bad,intransitive,13,syntax,argument_structure,sample4_PCFG.0.FG-output.rank-1,-6.3368619101150525,-6.337910903122671,TRUE
those friends of Name were painting .,those friends of Name were painting .,-42.32326938266179,-6.046181340380256,(ROOT (NP (DT _those) (NNS _friends) (PP (IN _of) (NP _Name))) (VP (COP _were) (NP _painting)) (. _.)),good,intransitive,13,syntax,argument_structure,sample5_PCFG.0.FG-output.rank-1,-6.046181340380256,-6.246682765390661,TRUE
